
РҚАО-ның ескертпесі! Осы бұйрықтың қолданысқа енгізілу тәртібін 3-тармақтан қараңыз

БҰЙЫРАМЫН: 1. «Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесін бекіту туралы» Қазақстан Республикасы Қаржы министрінің 2014 жылғы 18 қыркүйектегі № 404 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 9760 болып тіркелген) мынадай өзгеріс енгізілсін: Осы бұйрықпен бекітілген Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесін осы бұйрыққа қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Қазақстан Республикасы Қаржы министрлігінің Бюджеттік жоспарлау және болжамдау департаменті (Т.М. Савельева) заңнамада белгіленген тәртіппен: 1) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін; 2) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуінен кейін күнтізбелік он күн ішінде бұқаралық ақпарат құралдарында және «Әділет» ақпараттық-құқықтық жүйесінде ресми жариялануға жіберілуін; 3) осы бұйрықтың Қазақстан Республикасы Қаржы министрлігінің интернет-ресурсында орналастырылуын қамтамасыз етсін. 3. Осы бұйрық 2015 жылғы 1 қаңтардан бастап қолданысқа енгізіледі.

Министр                                    Б. Сұлтанов

Қазақстан Республикасы Қаржы министрінің 2014 жылғы 14 қарашадағы № 495 бұйрығына

Қазақстан Республикасы Қаржы министрінің 2014 жылғы 18 қыркүйектегі № 404 бұйрығына 1-қосымша

Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесі


Атау	|	КОДТАР	|	БЮДЖЕТКЕ %-БЕН ЕСЕПТЕЛЕДІ
Санаты	|	Сынып	|	Кіші сынып	|	Ерекшелігі	|	Республикалық бюджет	|	Жергілікті бюджеттер	|	Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты
Облыстық бюджет	|	Республикалық маңызы бар қала, астана	|	Аудан, облыстық маңызы бар қала
1	|	2	|	3	|	4	|	5	|	6	|	7	|	8	|	9	|	10
Қазақстан Республикасының аумағында өндірілген темекі өнімдері, жеңiл автомобильдер (арнайы мүгедектерге арналған, қолмен басқарылатын немесе қолмен басқару бейімдегіші бар автомобильдерден басқа)	|	1	|	05	|	2	|	75	|		|		|	100	|	100	|	
Қазақстан Республикасының аумағына Кеден одағына мүше мемлекеттердің аумағынан әкелінетін темекі өнімдері	|	1	|	05	|	2	|	76	|	100	|		|		|		|	
Қазақстан Республикасының аумағына Кеден одағына мүше мемлекеттердің аумағынан әкелінетін спирттiң және (немесе) шарап материалының, алкоголь өнімдерінің барлық түрлерi	|	1	|	05	|	2	|	77	|	100	|		|		|		|	
Қазақстан Республикасының аумағына Кеден одағына мүше мемлекеттердің аумағынан әкелінетін акцизделетін өнімнің өзге түрлері	|	1	|	05	|	2	|	78	|	100	|		|		|		|	
Қазақстан Республикасы аумағына Кеден одағына мүше мемлекеттердің аумағынан әкелінетін бензин (авиациялықты қоспағанда) және дизель отыны	|	1	|	05	|	2	|	79	|	100	|		|		|		|	
Кеден одағына мүше болып табылмайтын мемлекеттердің аумағынан әкелінетін, Қазақстан Республикасының аумағына импортталатын спирттің және (немесе) шарап материалының, алкоголь өнімдерінің барлық түрлері	|	1	|	05	|	2	|	80	|	100	|		|		|		|	
Ресей Федерациясының және Беларусь Республикасының аумағынан әкелінетін кеден одағы тауарларынан басқа, Қазақстан Республикасының аумағына импортталатын темекі өнімдері	|	1	|	05	|	2	|	81	|	100	|		|		|		|	
Ресей Федерациясының және Беларусь Республикасының аумағынан әкелінетін кеден одағы тауарларынан басқа, Қазақстан Республикасының аумағына импортталатын басқа да акцизделетін өнімдердің түрлері	|	1	|	05	|	2	|	82	|	100	|		|		|		|	
Кеден одағына мүше болып табылмайтын мемлекеттер аумағынан әкелінетін, Қазақстан Республикасының аумағына импортталатын бензин (авиациялықты қоспағанда) және дизель отыны	|	1	|	05	|	2	|	83	|	100	|		|		|		|	
Қазақстан Республикасының аумағында өндірілген бензин (авиациялықты қоспағанда) және дизель отыны	|	1	|	05	|	2	|	84	|		|		|	100	|	100	|	
Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер	|	1	|	05	|	3	|		|		|		|		|		|	
Қалааралық және (немесе) халықаралық телефон байланысын көрсеткені үшін төлем,тағыда ұялы байланыс	|	1	|	05	|	3	|	01	|	100	|		|		|		|	
Үстеме пайда салығы, мұнай секторы ұйымдарынан түсетін түсімдерден басқа	|	1	|	05	|	3	|	02	|	100	|		|		|		|	
Жер бетіне жақын көздердегі су ресурстарын пайдаланғаны үшін төлем	|	1	|	05	|	3	|	03	|		|	100	|	100	|		|	
Орманды пайдаланғаны үшiн төлем	|	1	|	05	|	3	|	04	|		|	100	|	100	|		|	
Бонустар, мұнай секторы ұйымдарынан түсетін түсімдерден басқа	|	1	|	05	|	3	|	05	|	100	|		|		|		|	
Пайдалы қазбаларды өндіруге салынатын салық, мұнай секторы ұйымдарынан түсетін түсімдерден басқа	|	1	|	05	|	3	|	06	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, экспортқа салынатын рента салығы	|	1	|	05	|	3	|	07	|	100	|		|		|		|	
Жасалған келiсiмшарттар бойынша өнiмді бөлгендегі Қазақстан Республикасының үлесi, мұнай секторы ұйымдарынан түсетін түсімдерден басқа	|	1	|	05	|	3	|	08	|	100	|		|		|		|	
Радиожиілік спектрін пайдаланғаны үшін төлем	|	1	|	05	|	3	|	09	|	100	|		|		|		|	
Кеме қатынайтын су жолдарын пайдаланғаны үшiн төлем	|	1	|	05	|	3	|	10	|	100	|		|		|		|	
Жануарлар дүниесін пайдаланғаны үшін төлем	|	1	|	05	|	3	|	11	|	100	|		|		|		|	
Республикалық маңызы бар ерекше қорғалатын табиғи аумақтарды пайдаланғаны үшін төлем	|	1	|	05	|	3	|	13	|	100	|		|		|		|	
Жергілікті маңызы бар ерекше қорғалатын табиғи аумақтарды пайдаланғаны үшін төлем	|	1	|	05	|	3	|	14	|		|	100	|	100	|		|	
Жер учаскелерін пайдаланғаны үшін төлем	|	1	|	05	|	3	|	15	|		|		|	100	|	100	|	
Қоршаған ортаға эмиссия үшін төленетін төлемақы	|	1	|	05	|	3	|	16	|		|	100	|	100	|		|	
Тарихи шығындарды өтеу бойынша төлемдер	|	1	|	05	|	3	|	19	|		|	100	|		|		|	
Мұнай секторы ұйымдарынан алынатын үстеме пайдаға салынатын салық	|	1	|	05	|	3	|	22	|		|		|		|		|	100
Мұнай секторы ұйымдарынан түсетін бонустар	|	1	|	05	|	3	|	25	|		|		|		|		|	100
Мұнай секторы кәсіпорындарынан түсетін пайдалы қазбаларды өндіруге салынатын салық	|	1	|	05	|	3	|	26	|		|		|		|		|	100
Мұнай секторы ұйымдарынан салынатын экспортқа рента салығы	|	1	|	05	|	3	|	27	|		|		|		|		|	100
Мұнай секторы ұйымдарынан жасалған келісімшарттар бойынша өнімді бөлгендегі Қазақстан Республикасының үлесі	|	1	|	05	|	3	|	28	|		|		|		|		|	100
Мұнай секторы ұйымдарынан түсетін қызметін өнімді бөлу жөніндегі келісімшарт бойынша жүзеге асыратын жер қойнауын пайдаланушының қосымша төлемі	|	1	|	05	|	3	|	29	|		|		|		|		|	100
Кәсiпкерлiк және кәсiби қызметтi жүргiзгенi үшiн алынатын алымдар	|	1	|	05	|	4	|		|		|		|		|		|	
Жекелеген қызмет түрлерiмен айналысу құқығы үшiн алынатын лицензиялық алым	|	1	|	05	|	4	|	02	|		|		|	100	|	100	|	
Аукциондардан алынатын алым	|	1	|	05	|	4	|	04	|		|		|	100	|	100	|	
Автокөлік құралдарының Қазақстан Республикасының аумағы арқылы өткені үшін алынатын алым	|	1	|	05	|	4	|	06	|	100	|		|		|		|	
Телевизиялық және радио хабарын тарататын ұйымдарға радиожиілік өрісін пайдалануға рұқсат бергені үшін алынатын алым	|	1	|	05	|	4	|	13	|	100	|		|		|		|	
Сыртқы (көрнекі) жарнаманы аудандық маңызы бар қалалар, ауылдар, кенттер, ауылдық округтер аумақтары арқылы өтетін республикалық маңызы бар жалпыға ортақ пайдаланылатын автомобиль жолдарының бөлiнген белдеуiндегі жарнаманы тұрақты орналастыру объектілерінде орналастырғаны үшін төлемақыны қоспағанда, сыртқы (көрнекi) жарнаманы республикалық маңызы бар жалпыға ортақ пайдаланылатын автомобиль жолдарының бөлiнген белдеуiндегі жарнаманы тұрақты орналастыру объектілерінде орналастырғаны үшiн төлемақы	|	1	|	05	|	4	|	19	|	100	|		|		|		|	
Сыртқы (көрнекі) жарнаманы аудандық маңызы бар қалалар, ауылдар, кенттер, ауылдық округтер аумақтары арқылы өтетін облыстық маңызы бар жалпыға ортақ пайдаланылатын автомобиль жолдарының бөлiнген белдеуiндегі жарнаманы тұрақты орналастыру объектілерінде орналастырғаны үшін төлемақыны қоспағанда, сыртқы (көрнекi) жарнаманы облыстық маңызы бар жалпыға ортақ пайдаланылатын автомобиль жолдарының бөлiнген белдеуiндегі жарнаманы тұрақты орналастыру объектілерінде орналастырғаны үшiн төлемақы	|	1	|	05	|	4	|	20	|		|	100	|		|		|	
Сыртқы (көрнекі) жарнаманы республикалық маңызы бар қалалардағы, астанадағы үй-жайлардан тыс ашық кеңістікте және республикалық маңызы бар қалаларда, астанада тіркелген көлік құралдарында орналастырғаны үшін төлемақы	|	1	|	05	|	4	|	24	|		|		|	100	|		|	
Сыртқы (көрнекі) жарнаманы аудандық маңызы бар жалпыға ортақ пайдаланылатын автомобиль жолдарының бөлінген белдеуіндегі, аудандық маңызы бар қаладағы, ауылдағы, кенттегі үй-жайлардан тыс ашық кеңістіктегі жарнаманы тұрақты орналастыру объектілерінде және ауданда тіркелген көлік құралдарында орналастырғаны үшін төлемақыны қоспағанда, сыртқы (көрнекі) жарнаманы облыстық маңызы бар қаладағы үй-жайлардан тыс ашық кеңістікте және облыстық маңызы бар қалада тіркелген көлік құралдарында орналастырғаны үшін төлемақы	|	1	|	05	|	4	|	25	|		|		|		|	100	|	
Республикалық бюджетке төленетін тіркелгені үшін алым	|	1	|	05	|	4	|	28	|	100	|		|		|		|	
Жергілікті бюджетке төленетін тіркелгені үшін алым	|	1	|	05	|	4	|	29	|		|		|	100	|	100	|	
Ойын бизнесіне салық	|	1	|	05	|	5	|		|		|		|		|		|	
Ойын бизнесіне салық	|	1	|	05	|	5	|	01	|	100	|		|		|		|	
Тіркелген салық	|	1	|	05	|	5	|	02	|		|		|	100	|	100	|	
Халықаралық сауда мен сыртқы операцияларға салынатын салықтар	|	1	|	06	|		|		|		|		|		|		|	
Кеден төлемдерi	|	1	|	06	|	1	|		|		|		|		|		|	
Кеден одағында әкелу кедендік баждарын (баламалы қолданылатын өзге де баждарды, салықтар мен алымдарды) есепке жатқызу мен бөлудің тәртібін белгілеу және қолдану туралы келісімге сәйкес төленген әкелінетін кедендік баждары (баламалы қолданылатын өзге де баждарды, салықтар мен алымдарды)	|	1	|	06	|	1	|	01	|	100	|		|		|		|	
Әкетілетін тауарларға салынатын кедендік баждар	|	1	|	06	|	1	|	02	|	100	|		|		|		|	
Кеден бажының бірыңғай ставкасын қолданумен жеке тұлғалардан өндіріп алынатын жеке пайдалануына әкелінетін тауарларға салынатын кеден баждары, салықтары	|	1	|	06	|	1	|	04	|	100	|		|		|		|	
Әкелінетін тауарларға жиынтық кедендік төлем	|	1	|	06	|	1	|	05	|	100	|		|		|		|	
Ресей Федерациясымен бөлінген кедендік баж	|	1	|	06	|	1	|	06	|	100	|		|		|		|	
Беларусь Республикасымен бөлінген кедендік баж	|	1	|	06	|	1	|	07	|	100	|		|		|		|	
Олар бойынша аудару тоқтатыла тұрған Қазақстан Республика аумағына импортталатын, әкелінетін тауарларға арналған кедендік баж	|	1	|	06	|	1	|	08	|	100	|		|		|		|	
Бөлінген кедендік баждың аударылу сомалары бойынша орындалмаған, толық емес және (немесе) уақытылы орындалмаған міндеттемелердің өсім сомасы	|	1	|	06	|	1	|	09	|	100	|		|		|		|	
Мұнайға салынатын кедендік әкету бажы	|	1	|	06	|	1	|	10	|	100	|		|		|		|	
Мұнайдан өндірілген тауарларға салынатын кедендік әкету бажы	|	1	|	06	|	1	|	11	|	100	|		|		|		|	
Төлеу бойынша міндеттеме Кеден одағында әкелу кедендік баждарын (баламалы қолданылатын өзге де баждарды, салықтар мен алымдарды) есепке жатқызу мен бөлудің тәртібін белгілеу және қолдану туралы келісім күшіне енгенге дейін туындаған әкелу тауарларына кедендік баждар және (немесе) әкелінетін кедендік баждар	|	1	|	06	|	1	|	12	|	100	|		|		|		|	
Ресей Федерацисынан түскен кедендік баждарды, салықтарды төлеуді қамтамасыз етудің өндіріп алынған сомалары	|	1	|	06	|	1	|	14	|	100	|		|		|		|	
Беларусь Республикасынан түскен кедендік баждарды, салықтарды төлеуді қамтамасыз етудің өндіріп алынған сомалары	|	1	|	06	|	1	|	15	|	100	|		|		|		|	
Халықаралық сауда мен операцияларға салынатын басқа да салықтар	|	1	|	06	|	2	|		|		|		|		|		|	
Кедендiк бақылауды және кедендiк рәсiмдердi жүзеге асырудан түсетiн түсiмдер	|	1	|	06	|	2	|	01	|	100	|		|		|		|	
Арнайы қорғалатын, демпингке қарсы және өтемақы баждары	|	1	|	06	|	2	|	02	|	100	|		|		|		|	
Беларус Республикасынан түсетін арнайы қорғалатын, демпингке қарсы және өтемақы баждары	|	1	|	06	|	2	|	05	|	100	|		|		|		|	
Ресей Федерациясынан түсетін арнайы қорғалатын, демпингке қарсы және өтемақы баждары	|	1	|	06	|	2	|	06	|	100	|		|		|		|	
Арнайы қорғалатын, демпингке қарсы және өтемақы баждарды қайта бөлуден түсетін соманы аудару бойынша міндеттемелерді орындамағаны немесе (жартылай) уақтылы орындамағаны үшін мерзімін өткізу пайыздарының сомасы	|	1	|	06	|	2	|	07	|	100	|		|		|		|	
Бөлуге жатпайтын арнайы қорғалатын, демпингке қарсы және өтемақы баждары	|	1	|	06	|	2	|	08	|	100	|		|		|		|	
Басқа да салықтар	|	1	|	07	|		|		|		|		|		|		|	
Басқа да салықтар	|	1	|	07	|	1	|		|		|		|		|		|	
Республикалық бюджетке түсетін өзге де салық түсiмдері	|	1	|	07	|	1	|	09	|	100Бұрын жергілікті бюджетке түскен күшін жойған салық түрлері бойынша орындалмаған міндеттемелер	|		|		|		|	
Жергілікті бюджетке түсетін өзге де салық түсімдері	|	1	|	07	|	1	|	10	|		|	100Бұрын жергілікті бюджетке түскен күшін жойған салық түрлері бойынша орындалмаған міндеттемелер	|	100Бұрын жергілікті бюджетке түскен күшін жойған салық түрлері бойынша орындалмаған міндеттемелер	|	100Бұрын жергілікті бюджетке түскен күшін жойған салық түрлері бойынша орындалмаған міндеттемелер	|	
Заңдық маңызы бар әрекеттерді жасағаны және (немесе) оған уәкілеттігі бар мемлекеттік органдар немесе лауазымды адамдар құжаттар бергені үшін алынатын міндетті төлемдер	|	1	|	08	|		|		|		|		|		|		|	
Мемлекеттік баж	|	1	|	08	|	1	|		|		|		|		|		|	
Консулдық алым	|	1	|	08	|	1	|	01	|	100	|		|		|		|	
Республикалық бюджетке төленетін мемлекеттік баж	|	1	|	08	|	1	|	25	|	100	|		|		|		|	
Жергілікті бюджетке төленетін мемлекеттік баж	|	1	|	08	|	1	|	26	|		|		|	100	|	100	|	
Салықтық емес түсiмдер	|	2	|		|		|		|		|		|		|		|	
Мемлекеттік меншіктен түсетін кірістер	|	2	|	01	|		|		|		|		|		|		|	
Мемлекеттік кәсіпорындардың таза кірісі бөлігінің түсімдері	|	2	|	01	|	1	|		|		|		|		|		|	
Республикалық мемлекеттік кәсіпорындардың таза кірісінің бір бөлігінің түсімдері	|	2	|	01	|	1	|	01	|	100	|		|		|		|	
Коммуналдық мемлекеттік кәсіпорындардың таза кірісінің бір бөлігінің түсімдері	|	2	|	01	|	1	|	02	|		|	100	|	100	|	100	|	
Қазақстан Республикасы Ұлттық Банкінің таза табысы бөлігінің түсімдері	|	2	|	01	|	2	|		|		|		|		|		|	
Қазақстан Республикасы Ұлттық Банкінің таза табысы бөлігінің түсімдері	|	2	|	01	|	2	|	01	|	100	|		|		|		|	
Мемлекет меншігіндегі акциялардың мемлекеттік пакеттеріне дивидендтер	|	2	|	01	|	3	|		|		|		|		|		|	
Республика меншігіндегі акциялардың мемлекеттік пакетіне дивидендтер	|	2	|	01	|	3	|	01	|	100	|		|		|		|	
Коммуналдық меншіктегі акциялардың мемлекеттік пакетіне берілетін дивидендтер	|	2	|	01	|	3	|	02	|		|	100	|	100	|	100	|	
Мемлекет меншігінде тұрған, заңды тұлғалардағы қатысу үлесіне кірістер	|	2	|	01	|	4	|		|		|		|		|		|	
Республикалық меншіктегі заңды тұлғаларға қатысу үлесіне кірістер	|	2	|	01	|	4	|	01	|	100	|		|		|		|	
Коммуналдық меншіктегі заңды тұлғаларға қатысу үлесіне кірістер	|	2	|	01	|	4	|	02	|		|	100	|	100	|	100	|	
Мемлекет меншігіндегі мүлікті жалға беруден түсетін кірістер	|	2	|	01	|	5	|		|		|		|		|		|	
Республика меншігіндегі мүлікті жалға алудан түсетін кірістер	|	2	|	01	|	5	|	01	|	100	|		|		|		|	
Әскери полигондарды пайдаланғаны үшін жалгерлік төлемнен түсетін түсімдер	|	2	|	01	|	5	|	02	|	100	|		|		|		|	
«Байқоныр» кешенін пайдаланғаны үшін жалгерлік төлемнен түсетін түсімдер	|	2	|	01	|	5	|	03	|	100	|		|		|		|	
Облыстың коммуналдық меншігіндегі мүлікті жалға беруден түсетін кірістер	|	2	|	01	|	5	|	04	|		|	100	|		|		|	
Облыстың коммуналдық меншігіндегі тұрғын үй қорынан үйлердi жалға беруден түсетін кірістер	|	2	|	01	|	5	|	05	|		|	100	|		|		|	
Республикалық маңызы бар қаланың, астананың коммуналдық меншігіндегі мүлікті жалға беруден түсетін кірістер	|	2	|	01	|	5	|	06	|		|		|	100	|		|	
Республикалық маңызы бар қаланың, астананың коммуналдық меншігіндегі тұрғын үй қорынан үйлердi жалға беруден түсетін кірістер	|	2	|	01	|	5	|	07	|		|		|	100	|		|	
Аудандық маңызы бар қала, ауыл, кент, ауылдық округ әкімдерінің басқаруындағы мемлекеттік мүлікті жалға беруден түсетін кірістерді қоспағанда ауданның (облыстық маңызы бар қаланың) коммуналдық меншігіндегі мүлікті жалға беруден түсетін кірістер	|	2	|	01	|	5	|	08	|		|		|		|	100	|	
Аудандық маңызы бар қала, ауыл, кент, ауылдық округ әкімдерінің басқаруындағы мемлекеттік мүлікті жалға беруден түсетін кірістерді қоспағанда ауданның (облыстық маңызы бар қаланың) коммуналдық меншігіндегі тұрғын үй қорынан үйлердi жалға беруден түсетін кірістер	|	2	|	01	|	5	|	09	|		|		|		|	100	|	
Бюджет қаражатын банк шоттарына орналастырғаны үшін сыйақылар	|	2	|	01	|	6	|		|		|		|		|		|	
Қазақстан Республикасы Үкіметінің Қазақстан Республикасы Ұлттық банкіндегі депозиттері бойынша сыйақылар	|	2	|	01	|	6	|	01	|	100	|		|		|		|	
Депозиттерге уақытша бос бюджеттік ақшаны орналастырудан алынған сыйақылар	|	2	|	01	|	6	|	02	|		|	100	|	100	|		|	
Екінші деңгейдегі банктер шоттарында мемлекеттік сыртқы қарыздар қаражатын орналастырғаны үшін сыйақылар	|	2	|	01	|	6	|	03	|	100	|		|		|		|	
Мемлекеттік бюджеттен берілген кредиттер бойынша сыйақылар	|	2	|	01	|	7	|		|		|		|		|		|	
Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдарына ішкі көздер есебінен республикалық бюджеттен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	01	|	100	|		|		|		|	
Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдарына үкіметтік сыртқы қарыздар қаражаты есебінен республикалық бюджеттен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	02	|	100	|		|		|		|	
Аудандардың (облыстық маңызы бар қалалардың) жергілікті атқарушы органдарына облыстық бюджеттен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	03	|		|	100	|		|		|	
Мамандандырылған ұйымдарға ішкі көздер есебінен республикалық бюджеттен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	04	|	100	|		|		|		|	
