Солтүстік Қазақстан облысының әкімдігі ҚАУЛЫ ЕТЕДІ:

1. "Жергілікті маңызы бар балық шаруашылығы су айдындарының және (немесе) учаскелерінің тізбесін бекіту туралы" Солтүстік Қазақстан облысы әкімдігінің 2019 жылғы 4 сәуірдегі № 76 қаулысына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 5334 болып тіркелді) мынадай өзгеріс енгізілсін:

көрсетілген қаулымен бекітілген қосымша осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. "Солтүстік Қазақстан облысы әкімдігінің табиғи ресурстар және табиғат пайдалануды реттеу басқармасы" коммуналдық мемлекеттік мекемесі Қазақстан Республикасының заңнамасында белгіленген тәртіпте қамтамасыз етсін:

1) осы қаулыны Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркеуді;

2) осы қаулыны ресми жарияланғаннан кейін Солтүстік Қазақстан облысы әкімдігінің интернет-ресурсында орналастыруды.

3. Осы қаулының орындалуын бақылау Солтүстік Қазақстан облысы әкімінің жетекшілік ететін мәселелер жөніндегі орынбасарына жүктелсін.

4. Осы қаулы оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Солтүстік Қазақстан облысының әкімі	|	К. Аксакалов



	|	Солтүстік Қазақстан
	|	облысы әкімдігінің
	|	2021 жылғы 18 қарашадағы
	|	№ 256 қаулысына
	|	қосымша
	|	Солтүстік Қазақстан
	|	облысы әкімдігінің
	|	2019 жылғы "04" сәуірдегі
	|	№ 76 қаулысына
	|	қосымша

Жергілікті маңызы бар балық шаруашылығы су айдындарының және (немесе) учаскелерінің тізбесі

№	|	Cу айдыны және (немесе) учаскесі	|	Ауданы, гектар	|	Орналасқан жері	|	Балық шаруашылығының түрі
141	|	Красное көлі	|	500	|	Святодуховка ауылынан оңтүстік батысқа қарай 10 километр	|	Кәсіпшілік балық аулау
142	|	Кривое (Ольговка) көлі	|	185	|	Ольговка ауылынан оңтүстік шығысқа қарай 4,3 километр	|	Кәсіпшілік балық аулау
143	|	Кривое көлі	|	99	|	Мирное ауылынан оңтүстік шығысқа қарай 9,2 километр	|	Кәсіпшілік балық аулау
144	|	Крутояр көлі	|	91	|	Чапаевка ауылынан солтүстік батысқа қарай 8 километр	|	Кәсіпшілік балық аулау
145	|	Кужи көлі	|	100	|	Чапаевка ауылынан оңтүстікке қарай 0,2 километр	|	Кәсіпшілік балық аулау
146	|	Курганское көлі	|	143	|	Екатериновка ауылынан солтүстікке қарай 8 километр	|	Кәсіпшілік балық аулау
147	|	Лагерное (Мирное) көлі	|	66	|	Мирное ауылынан оңтүстік батысқа қарай 2,1 километр	|	Кәсіпшілік балық аулау
148	|	Лагерное көлі	|	192	|	Пресновка ауылынан солтүстік батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
149	|	Майбалық көлі	|	162	|	Майбалық ауылынан батысқа қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
150	|	Могильное көлі	|	218	|	Макарьевка ауылынан оңтүстік батысқа қарай 4,5 километр	|	Кәсіпшілік балық аулау
151	|	Моховое көлі	|	20	|	Кабань ауылынан солтүстік шығысқа қарай 7 километр	|	Кәсіпшілік балық аулау
152	|	Новорыбинское (Соленое) көлі	|	95	|	Новорыбинское ауылынан оңтүстік батысқа қарай0,05 километр	|	Көлде тауарлы балық өсіру шаруашылығы
153	|	Пестрое (Симаки) көлі	|	65	|	Симаки ауылынан оңтүстікке қарай 3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
154	|	Пасынки көлі	|	260	|	Пресновка ауылынан солтүстік батысқа қарай 11,5 километр	|	Ащы-тұзды су айдыны
155	|	Песчаное (Үлкен) көлі	|	123	|	Макарьевка ауылынан солтүстік батысқа қарай 6,5 километр	|	Кәсіпшілік балық аулау
156	|	Песчаное (Симаки) көлі	|	70	|	Симаки ауылынан солтүстікке қарай0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
157	|	Песчаное көлі	|	68	|	Чапаевка ауылынан солтүстікке қарай 1,2 километр	|	Кәсіпшілік балық аулау
158	|	Песчаное (Песьяное) көлі	|	56	|	Буденное ауылынан солтүстік шығысқа қарай 13,8 километр	|	Кәсіпшілік балық аулау
159	|	Питное (Островское) көлі	|	256	|	Казанка ауылынан оңтүстікке қарай 8 километр	|	Кәсіпшілік балық аулау
160	|	Питное көлі (Кабань ауылы)	|	98	|	Кабань ауылынан оңтүстікке қарай 0,3 километр	|	Кәсіпшілік балық аулау
161	|	Питное көлі	|	192	|	Пресновка ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
162	|	Питное (Казанка) көлі	|	185	|	Казанка ауылынан оңтүстікке қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
163	|	Питное (Богатое) көлі	|	106	|	Железное ауылынан солтүстік шығысқа қарай 8,7 километр	|	Кәсіпшілік балық аулау
164	|	Питное (Новорыбинка) көлі	|	67	|	Новорыбинка ауылынан солтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
165	|	Пьянков көлі	|	454	|	Кабань ауылынан солтүстік батысқа қарай 4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
166	|	Расплатное көлі	|	40	|	Святодуховка ауылынан оңтүстік шығысқа қарай 4 километр	|	Кәсіпшілік балық аулау
167	|	Сладкое (Домашнее) көлі	|	98	|	Буденное ауылынан солтүстік батысқа қарай 9,8 километр	|	Кәсіпшілік балық аулау
168	|	Сладкое көлі	|	60	|	Чапаевка ауылынан солтүстік батысқа қарай 5 километр	|	Кәсіпшілік балық аулау
169	|	Семилов көлі	|	529	|	Казанка ауылынан солтүстік шығысқа қарай 7 километр	|	Ащы-тұзды су айдыны
170	|	Үлкен Сливное көлі	|	52	|	Буденное ауылынан солтүстік солтүстік шығысқа қарай 13,2 километр	|	Кәсіпшілік балық аулау
171	|	Собачье көлі	|	73	|	Ястребиновка ауылынан солтүстік батысқа қарай 1 километр	|	Кәсіпшілік балық аулау
172	|	Соленое (Благовещенка) көлі	|	500	|	Благовещенка ауылынан солтүстік шығысқа қарай 4 километр	|	Ащы-тұзды су айдыны
173	|	Соленое(Сенжарка) көлі	|	634	|	Сенжарка ауылынан солтүстік батысқа қарай 5 километр	|	Ащы-тұзды су айдыны
174	|	Соленое көлі	|	460	|	Кладбинка ауылынан солтүстік батысқа қарай 4,9 километр	|	Ащы-тұзды су айдыны
175	|	Соленое (Айтуар) көлі	|	96	|	Айтуар ауылынан шығысқа қарай3,7 километр	|	Көлде тауарлы балық өсіру шаруашылығы
