
1. Қоса беріліп отырған «Мемлекеттік мүлік туралы» Қазақстан Республикасының 2011 жылғы 1 наурыздағы Заңын іске асыру жөніндегі іс-шаралар жоспары (бұдан әрі – Жоспар) бекітілсін. 2. Қазақстан Республикасы Экономикалық даму және сауда министрлiгi жыл сайын 15 ақпанға және 15 тамызға қарай Қазақстан Республикасының Үкiметiне Жоспардың iске асырылу барысы туралы ақпаратты ұсынсын. 3. Осы өкімнің орындалуын бақылау Қазақстан Республикасы Экономикалық даму және сауда министрлігіне жүктелсін.

Премьер-Министр                            К. Мәсімов

Қазақстан Республикасының Премьер-Министрінің 2011 жылғы 5 мамырдағы № 64-ө өкімімен бекітілген

«Мемлекеттік мүлік туралы» Қазақстан Республикасының Заңын іске асыру жөніндегі іс-шаралар жоспары


р/с№	|	Іс-шараның атауы	|	Жауапты орындаушылар	|	Аяқтау нысаны	|	Орындалу мерзімі
10	|	Облыстық коммуналдық мүліктен берілген бақыланатын акционерлік қоғамдардың (жауапкершілігі шектеулі серіктестіктердің) жарғыларына өзгерістер енгізу	|	Аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	Жарғыны тіркеу	|	2012 жылғы 1 қаңтарға
11	|	Аудандық және облыстық коммуналдық меншік объектілері бойынша оның деректерінің өзектілігін қамтамасыз ету үшін мемлекеттік мүлік тізілімінің деректеріне қол жеткізуге мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператормен шарттар жасасу	|	Облыстардың, республикалық маңызы бар қалалардың, астананың, облыстық маңызы бар қалалардың, аудандардың жергілікті атқарушы органдары, мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператор	|	Мемлекеттік мүлікті есепке алу саласындағы бірыңғай операторы мен облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары арасындағы шарт	|	2012 жылғы 31 қаңтарға
12	|	Коммуналдық мүлікті облыстық және аудандық коммуналдық мүлікке бөлу бойынша мемлекеттік мүліктің тізіліміне өзгерістер енгізу	|	Қаржымині (жинақтау) облыстардың, республикалық маңызы бар қалалардың, астананың, облыстық маңызы бар қалалардың, аудандардың жергілікті атқарушы органдары, мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператор	|	1. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай операторға электронды тасымалдағыштағы ақпарат2. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператордың  ЭДСМ-ге ақпараты	|	2012 жылғы 1 қаңтарға
13	|	Мемлекеттік кәсіпорындардың, мемлекет бақылайтын акционерлік қоғамдардың, жауапкершілігі шектеулі серіктестіктердің даму жоспарларын әзірлеу бойынша семинар-кеңес өткізу	|	ЭДСМ (жинақтау), Қаржымині, мүдделі мемлекеттік органдар, жергілікті атқарушы органдар	|	Үкіметке ақпарат	|	2011 жылғы қыркүйек
14	|	Мыналарды:өзінің Стратегиялық жоспарында (аумақты дамыту бағдарламасында) көрсетілген, мемлекеттік органның стратегиялық бағыттары мен мақсаттарына қол жеткізуге әкелетін қызметтердің нақты, өлшенетін бағдарлары (оқиғалары, шарттары);өзінің Стратегиялық жоспарында (аумақты дамыту бағдарламасында) көрсетілген, мемлекеттік органның стратегиялық бағыттары мен мақсаттарын орындау бойынша олардың қызметін сипаттайтын сапалы және сандық көрсеткіштер әзірлеу және мемлекеттік кәсіпорындарға және мемлекет бақылайтын акционерлік қоғамдарға (жауапкершілігі шектеулі серіктестіктерге) жеткізу	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар мен жергілікті бюджеттен қаржыландыратын атқарушы органдар	|	Мемлекеттік кәсіпорындардың, мемлекет бақылайтын акционерлік қоғамдардың (жауапкершілігі шектеулі серіктестіктердің) даму жоспарлары	|	2011 жылғы 1 қыркүйекке, жыл сайын
15	|	Тиісті саладағы уәкілетті органмен мемлекеттік кәсіпорындардың және мемлекет бақылайтын акционерлік қоғамдардың (жауапкершілігі шектеулі серіктестіктердің) даму жоспарларын келісу	|	Мемлекеттік кәсіпорындардың, мемлекет бақылайтын акционерлік қоғамдардың (жауапкершілігі шектеулі серіктестіктердің) атқарушы органдарының басшылары	|	Даму жоспарларын келісу туралы мемлекеттік органдардың хаттары	|	2011 жылғы 15 қазанға
16	|	Мемлекеттік кәсіпорындардың, мемлекет бақылайтын акционерлік қоғамдардың (жауапкершілігі шектеулі серіктестіктердің) 2012-2016 жылдарға арналған даму жоспарларын бекіту	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар мен жергілікті бюджеттен қаржыландыратын атқарушы органдар	|	1. Мемлекеттік кәсіпорындардың даму жоспарларын бекіту туралы бұйрықтар2. Мемлекет бақылайтын акционерлік қоғамдардың (жауапкершілігі шектеулі серіктестіктердің) даму жоспарларын бекіту туралы директорлар кеңесінің (қадағалау кеңесінің) шешімдері	|	2011 жылғы 20 желтоқсанға
17	|	Мемлекеттік кәсіпорындардың және мемлекет бақылайтын акционерлік қоғамдардын, (жауапкершілігі шектеулі серіктестіктердің) 2012-2016 жылдарға арналған бекітілген даму жоспарларын мемлекеттік мүліктің тізіліміне ұсыну	|	Мемлекеттік кәсіпорындардың, мемлекет бақылайтын акционерлік қоғамдардың (жауапкершілігі шектеулі серіктестіктердің) атқарушы органдарының басшылары	|	1. Мемлекеттік мүліктің тізіліміне электронды есептің енгізілгені туралы мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператордың хабарламасы2. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператордың ЭДСМ-ге ақпараты	|	2011 жылғы 25 желтоқсанға
18	|	Мемлекеттің қатысуы бар ұлттық басқарушы холдингтердің, ұлттық холдингтердің, ұлттық компаниялардың стратегиялары мен даму жоспарларын мемлекеттік мүліктің тізіліміне ұсыну	|	Мемлекеттің қатысуы бар ұлттық басқарушы холдингтердің, ұлттық холдингтердің, ұлттық компаниялардың атқарушы органдары	|	1. Мемлекеттік мүліктің тізіліміне электронды есептің енгізілгені туралы мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператордың хабарламасы2. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай операторының ЭДСМ-ге ақпараты	|	2012 жылдан бастап, жыл сайын 1 мамырға
19	|	Мемлекеттік кәсіпорындар, мемлекет бақылайтын акционерлік қоғамдар (жауапкершілігі шектеулі серіктестіктер) қызметінің нәтижелерін тыңдау	|	Тиісті саланың уәкілетті органдары болып табылатын орталық мемлекеттік органдар мен жергілікті бюджеттен қаржыландырылатын атқарушы органдар	|	1. Жергілікті атқарушы органдар бекіткен ағымдағы жылы тыңдауға жататын ұйымдардың тізбесі және тыңдау кестесі2. Тыңдау хаттамасы3. ЭДСМ мен Қаржыминіне тыңдау хаттамасының көшірмесі бар ақпарат	|	2012 жылғы, 1 қарашаға, жыл сайын
20	|	Мемлекеттік кәсіпорындардың, мемлекет бақылайтын акционерлік қоғамдардың (жауапкершілігі шектеулі серіктестіктердің) мемлекеттік мүлік тізіліміне ақпараты ұсынуы бойынша салыстырып тексеруді жүргізу	|	Қаржымині (жинақтау), тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар мен жергілікті бюджеттен қаржыландырылатын атқарушы органдар, облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары, мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператор	|	Мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператордың ЭДСМ-ге ақпараты	|	2011 жылғы 1 желтоқсанға
21	|	Мемлекеттік мүлік тізілімін құру жөніндегі іс-шарлар жоспарын бекіту	|	ЭДСМ (жинақтау), Қаржымині, мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператор	|	Қазақстан Республикасы Үкіметінің қаулысы	|	2011 жылғы 1 тамызға
22	|	Соғыс уақытында реквизициялауға жататын мүлік тізбесін айқындау	|	Облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты2. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2011 жылғы 1 шілдеге
23	|	Соғыс уақытында реквизициялауға жататын мүлікті есепке алуды жүзеге асыру	|	Облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, областық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты2. Облыстардың, республикалық маңызы бар қалалардың, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	Жыл сайын 1 желтоқсанға
24	|	Жер учаскесін сатып алу туралы шарттар жобаларын қарау жөніндегі комиссияны құру және осы комиссия туралы ережені бекіту	|	Облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті өкілді органдары (келісім бойынша)	|	1. Облыстар, республикалық маңызы бар қалалар, астана, аудандар, облыстық маңызы бар қалалар мәслихаттарының шешімдері2. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстардың, республикалық маңызы бар қалалардың, астана әкімдіктерінің ЭДСМ-ге және ЖРБА-не ақпараты	|	2011 жылғы 1 шілдеге
25	|	Білім беру және денсаулық сақтау салаларында, әрбір салаға бес пилотты мемлекеттік кәсіпорын бойынша қадағалау кеңестерін енгізу үшін кемінде он пилотты мемлекеттік кәсіпорынды айқындау	|	ДСМ, БҒМ	|	Қазақстан Республикасы Үкіметінің қаулысы	|	2011 жылғы 1 маусымға
26	|	Білім беру және денсаулық сақтау салаларында әрбір салаға пилотты мемлекеттік кәсіпорын бойынша қадағалау кеңесін енгізу үшін кемінде бір пилотты мемлекеттік кәсіпорынды айқындау	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдар	|	1. Әкімдіктер қаулылары2. ЭДСМ-ге ақпарат	|	2011 жылғы 1 маусымға
27	|	Қадағалау кеңестері бар мемлекеттік кәсіпорындардың жарғыларына өзгерістер енгізу	|	ДСМ, БҒМ, Қаржыминінің ММЖК, жергілікті атқарушы органдар	|	ЭДСМ-ге ақпарат	|	2011 жылғы 1 тамызға
28	|	Мемлекеттік кәсіпорындардың қадағалау кеңестерінің мүшелеріне кандидаттарды конкурстық іріктеу өткізу	|	ДСМ, БҒМ, облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары	|	ЭДСМ-ге ақпарат	|	2011 жылғы 1 тамызға
29	|	Мемлекеттік кәсіпорындардың қадағалау кеңесі мүшелерінің қызметіне бағалау жүргізу	|	ДСМ, БҒМ, облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары	|	ЭДСМ-ге ақпарат	|	2012 жылғы 1 мамырға
30	|	Қадағалау кеңесі бар мемлекеттік кәсіпорындардың қаржылық есептілігіне аудит жүргізу	|	ДСМ, БҒМ, облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары	|	ЭДСМ-ге ақпарат	|	2012 жылғы1 мамырға,жыл сайын
31	|	Қызметінің салалары Заңда көзделмеген республикалық мемлекеттік кәсіпорындар тізбесін құру	|	ЭДСМ (жинақтау), Қаржымині, тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар	|	1. Республикалық мемлекеттік кәсіпорындардың тізбесі2. ЭДСМ-ге ақпарат	|	2011 жылғы 1 қарашаға
32	|	Қызметінің салалары Заңда көзделмеген облыстық коммуналдық мемлекеттік кәсіпорындар тізбесін құру	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары	|	1. Коммуналдық мемлекеттік кәсіпорындардың тізбесі2. ЭДСМ-ге ақпарат	|	2011 жылғы 1 қарашаға
33	|	Қызметінің салалары Заңда көзделмеген аудандық коммуналдық мемлекеттік кәсіпорындар тізбесін құру	|	Аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Аудандық коммуналдық мемлекеттік кәсіпорындардың тізбесі2. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2011 жылғы 1 қарашаға
34	|	Тізбеге енгізілген республикалық мемлекеттік кәсіпорындардың, осы мемлекеттік кәсіпорындарға қатысты одан әрі іс-әрекетке функционалдық талдау жүргізу	|	ЭДСМ (жинақтау), Қаржымині, БҚА, тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар	|	Қазақстан Республикасының Үкіметіне ұсыныс	|	2011 жылғы 1 желтоқсанға
35	|	Тізбеге енгізілген облыстық коммуналдық мемлекеттік кәсіпорындардың, осы мемлекеттік кәсіпорындарға қатысты одан әрі іс-әрекетке функционалдық талдау жүргізу	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары, БҚА	|	Облыстар, республикалық маңызы бар қалалар, астана әкімдіктеріне ұсыныстар	|	2011 жылғы 1 желтоқсанға
36	|	Тізбеге енгізілген аудандық коммуналдық мемлекеттік кәсіпорындардың, осы мемлекеттік кәсіпорындарға қатысты одан әрі іс-әрекетке функционалдық талдау жүргізу	|	Ауданның, облыстық маңызы бар қалалардың жергілікті атқарушы органдары, БҚА	|	Ауданның, облыстық маңызы бар қалалардың әкімдіктеріне ұсыныстар	|	2011 жылғы 1 желтоқсанға
37	|	Республикалық мемлекеттік кәсіпорындарды тарату, қайта ұйымдастыру немесе жекешелендіру туралы шешім қабылдау	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, ЭДСМ, Қаржымині, БҚА	|	Қазақстан Республикасы Үкіметінің қаулысы	|	2012 жылғы 1 наурызға
38	|	Облыстық коммуналдық мемлекеттік кәсіпорындарды тарату, қайта ұйымдастыру немесе жекешелендіру туралы шешім қабылдау	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары, БҚА	|	1. Облыстар, республикалық маңызы бар қалалар, астана әкімдігінің қаулылары2. ЭДСМ-ге ақпарат	|	2012 жылғы 1 наурызға
39	|	Аудандық коммуналдық мемлекеттік кәсіпорындарды тарату, қайта ұйымдастыру немесе жекешелендіру туралы шешім қабылдау	|	Аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары, БҚА	|	1. Аудандар, облыстық маңызы бар қалалар әкімдіктерінің қаулылары2. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2012 жылғы 1 наурызға
40	|	Мемлекеттік кәсіпорындарды тарату, қайта ұйымдастыру немесе жекешелендіру бойынша жұмыс жүргізу	|	Қаржыминінің, ММЖК, тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. ҚР ММЖК-нің (республикалық жеке меншік бойынша) ЭДСМ-ге ақпараты2. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2012 жылғы 1 наурызға
41	|	Қайта ұйымдастырылатын мемлекеттік органдардың жарғыларына өзгерістер енгізу	|	Қаржыминінің ММЖК, тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, БҚА, облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Қаржымині ММЖК-нің (республикалық жеке меншік бойынша) ЭДСМ-ге ақпараты2. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2012 жылғы 1 қыркүйекке
42	|	Мемлекеттік кәсіпорындар бойынша мемлекеттік мүлік тізіліміне өзгерістер енгізу	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары, Мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператор	|	1. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай операторға ақпарат2. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператордың ЭДСМ-ге ақпараты	|	2012 жылғы 1 қазанға
43	|	Еншілес кәсіпорындары бар республикалық мемлекеттік кәсіпорындар тізбесін құру	|	ЭДСМ, Қаржымині, тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар	|	Еншілес кәсіпорындары бар республикалық мемлекеттік кәсіпорындардың тізбесі	|	2011 жылғы 1 желтоқсанға
44	|	Еншілес кәсіпорындары бар облыстық коммуналдық мемлекеттік кәсіпорындар тізбесін құру	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары	|	Еншілес кәсіпорындары бар облыстық коммуналдық мемлекеттік кәсіпорындардың тізбесі	|	2011 жылғы 1 желтоқсанға
45	|	Еншілес кәсіпорындары бар аудандық коммуналдық мемлекеттік кәсіпорындар тізбесін құру	|	Аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	Еншілес кәсіпорындары бар аудандық коммуналдық мемлекеттік кәсіпорындардың тізбесі	|	2011 жылғы 1 желтоқсанға
46	|	Тізбеге енгізілген, еншілес кәсіпорындары бар республикалық мемлекеттік кәсіпорындардың, олардың еншілес кәсіпорындарына қатысты одан әрі іс-әрекетке функционалдық талдау жүргізу	|	ЭДСМ, Қаржымині, БҚА, тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар	|	Қазақстан Республикасының Үкіметіне ұсыныс	|	2011 жылғы 1 желтоқсанға
47	|	Тізбеге енгізілген, еншілес кәсіпорындары бар облыстық мемлекеттік кәсіпорындардың, олардың еншілес кәсіпорындарына қатысты одан әрі іс-әрекетке функционалдық талдау жүргізу	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары, БҚА	|	Облыстар, республикалық маңызы бар қалалар, астананың әкімдіктер іне ұсыныс	|	2011 жылғы 1 желтоқсанға
48	|	Тізбеге енгізілген, еншілес кәсіпорындары бар аудандық мемлекеттік кәсіпорындардың, олардың еншілес кәсіпорындарына қатысты одан әрі іс-әрекетке функционалдық талдау жүргізу	|	Аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары, БҚА	|	Аудандардың, облыстық маңызы бар қалалардың әкімдіктеріне ұсыныс	|	2011 жылғы 1 желтоқсанға
49	|	Республикалық мемлекеттік кәсіпорындардың еншілес кәсіпорындарын тарату, қайта ұйымдастыру немесе жекешелендіру туралы шешім қабылдау	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, ЭДСМ, Қаржымині, БҚА	|	Қазақстан Республикасы Үкіметінің қаулысы	|	2012 жылғы 1 ақпанға
50	|	Облыстық коммуналдық мемлекеттік кәсіпорындардың еншілес кәсіпорындарын тарату, қайта ұйымдастыру немесе жекешелендіру туралы шешім қабылдау	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары, БҚА	|	1. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің қаулылары2. ЭДСМ-ге ақпарат	|	2012 жылғы 1 ақпанға
51	|	Аудандық коммуналдық мемлекеттік кәсіпорындардың еншілес кәсіпорындарын тарату, қайта ұйымдастыру немесе жекешелендіру туралы шешім қабылдау	|	Аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары, БҚА	|	1. Аудандар, облыстық маңызы бар қалалар әкімдіктерінің қаулысы2. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2012 жылғы 1 ақпанға
52	|	Мемлекеттік кәсіпорындар еншілес кәсіпорындарын тарату, қайта ұйымдастыру немесе жекешелендіру жөнінде жұмыс жүргізу	|	Қаржыминінің ММЖК, тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, БҚА, облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Қаржымині ММЖК-нің (республикалық жеке меншік бойынша) ЭДСМ-ге ақпараты2. Аудандар, облыстық маңызы бар қалалар әкімдіктерінің ЭДСМ-ге ақпаратты жинақтау үшін облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2012 жылғы 1 шілдеге
53	|	Бұрын еншілес кәсіпорындары бар мемлекеттік кәсіпорындар бойынша мемлекеттік мүлік тізіліміне өзгерістер енгізу	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдар, Мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператор	|	1. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай операторға ақпарат2. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператордың ЭДСМ-ге ақпараты	|	2012 жылғы 1 тамызға
54	|	Бұрын еншілес кәсіпорындары бар мемлекеттік кәсіпорындар жарғыларына өзгерістер енгізу	|	Қаржымині ММЖК, тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, БҚА, облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Қаржымині ММЖК-нің (республикалық жеке меншік бойынша) ЭДСМ-ге ақпараты2. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2012 жылғы 1 шілдеге
