БҰЙЫРАМЫН:

1. "Жер учаскелерінің кадастрлық нөмірлерін қалыптастыру мақсаттары үшін облыстарға, республикалық маңызы бар қалаларға, астанаға, аудандарға және облыстық (аудандық) маңызы бар қалаларға берілетін кодтардың тізбесін бекіту туралы" Қазақстан Республикасы Ұлттық экономика министрінің 2015 жылғы 6 наурыздағы № 188 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 10672 болып тіркелген) мынадай өзгеріс енгізілсін:

көрсетілген бұйрықпен бекітілген Жер учаскелерінің кадастрлық нөмірлерін қалыптастыру мақсаттары үшін облыстарға, республикалық маңызы бар қалаларға, астанаға, аудандарға және облыстық (аудандық) маңызы бар қалаларға берілетін кодтардың тізбесі осы бұйрыққа қосымшаға сәйкес жаңа редакцияда жазылсын.

2. Қазақстан Республикасы Ауыл шаруашылығы министрлігінің Жер ресурстарын басқару комитеті заңнамада белгіленген тәртіппен:

1) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін;

2) осы бұйрық ресми жарияланғаннан кейін оның Қазақстан Республикасы Ауыл шаруашылығы министрлігінің интернет-ресурсында орналастырылуын қамтамасыз етсін.

3. Осы бұйрықтың орындалуын бақылау жетекшілік ететін Қазақстан Республикасының Ауыл шаруашылығы вице-министріне жүктелсін.

4. Осы бұйрық алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Қазақстан РеспубликасыныңАуыл шаруашылығы министрініңміндетін атқарушы	|	Е. Карашукеев


"КЕЛІСІЛДІ"

Қазақстан Республикасы

Ұлттық экономика министрлігі


	|	Қазақстан РеспубликасыныңАуыл шаруашылығыминистрінің міндетін атқарушы2021 жылғы 12 тамыздағы№ 238 бұйрығынақосымша
	|	Қазақстан РеспубликасыҰлттық экономика министрінің2015 жылғы 6 наурыздағы№ 188 бұйрығыменбекітілген

Жер учаскелерінің кадастрлық нөмірлерін қалыптастыру мақсаттары үшін облыстарға, республикалық маңызы бар қалаларға, астанаға, аудандарға және облыстық (аудандық) маңызы бар қалаларға берілетін кодтардыңтізбесі

Р/с №	|	Әкімшілік-аумақтық бірлік	|	Кодтар
59	|	Талғар ауданы	|	051
60	|	Ұйғыр ауданы	|	052
61	|	Есік қаласы	|	054
62	|	Қапшағай қаласы	|	055
63	|	Қасқелең қаласы	|	056
64	|	Талғар қаласы	|	057
65	|	Ақсу ауданы	|	254
66	|	Алакөл ауданы	|	255
67	|	Қаратал ауданы	|	259
68	|	Кербұлақ ауданы	|	260
69	|	Көксу ауданы	|	261
70	|	Панфилов ауданы	|	262
71	|	Сарқанд ауданы	|	263
72	|	Ескелді ауданы	|	264
73	|	Жаркент қаласы	|	266
74	|	Сарқант қаласы	|	267
75	|	Талдықорған қаласы	|	268
76	|	Текелі қаласы	|	269
77	|	Үштөбе қаласы	|	270
78	|	Үшарал қаласы	|	271
79	|	Кеген ауданы	|	323
4-тарау. Атырау облысы
80	|	Атырау облысы	|	04
81	|	Жылыой ауданы	|	059
82	|	Индер ауданы	|	060
83	|	Исатай ауданы	|	061
84	|	Қызылқоға ауданы	|	062
85	|	Құрманғазы ауданы	|	063
86	|	Мақат ауданы	|	064
87	|	Махамбет ауданы	|	065
88	|	Атырау қаласы	|	066
5-тарау. Шығыс Қазақстан облысы
89	|	Шығыс Қазақстан облысы	|	05
90	|	Глубокий ауданы	|	068
91	|	Зайсан ауданы	|	069
92	|	Алтай ауданы	|	070
93	|	Қатон-Қарағай ауданы	|	071
94	|	Күршім ауданы	|	072
95	|	Тарбағатай ауданы	|	078
96	|	Ұлан ауданы	|	079
97	|	Шемонаиха ауданы	|	080
98	|	Зайсан қаласы	|	081
99	|	Алтай қаласы	|	082
100	|	Риддер қаласы	|	083
101	|	Серебрянск қаласы	|	084
102	|	Өскемен қаласы	|	085
103	|	Шемонаиха қаласы	|	086
104	|	Абай ауданы	|	236
105	|	Аягөз ауданы	|	239
106	|	Бесқарағай ауданы	|	240
107	|	Бородулиха ауданы	|	241
108	|	Жарма ауданы	|	243
109	|	Көкпекті ауданы	|	244
110	|	Үржар ауданы	|	248
111	|	Аягөз қаласы	|	251
112	|	Семей қаласы	|	252
113	|	Шар қаласы	|	253
6-тарау. Жамбыл облысы
114	|	Жамбыл облысы	|	06
115	|	Байзақ ауданы	|	087
116	|	Жамбыл ауданы	|	088
117	|	Жуалы ауданы	|	089
118	|	Қордай ауданы	|	090
119	|	Тұрар Рысқұлов атындағы ауданы	|	091
120	|	Мерке ауданы	|	092
121	|	Мойынқұм ауданы	|	093
122	|	Сарысу ауданы	|	094
123	|	Талас ауданы	|	095
124	|	Шу ауданы	|	096
125	|	Тараз қаласы	|	097
126	|	Жаңатас қаласы	|	098
127	|	Қаратау қаласы	|	099
128	|	Шу қаласы	|	100
7-тарау. Батыс Қазақстан облысы
129	|	Батыс Қазақстан облысы	|	08
130	|	Бөрілі ауданы	|	114
131	|	Жаңақала ауданы	|	115
132	|	Жәнібек ауданы	|	116
133	|	Бәйтерек ауданы	|	118
134	|	Казталовка ауданы	|	119
135	|	Қаратөбе ауданы	|	120
136	|	Сырым ауданы	|	122
137	|	Тасқала ауданы	|	124
138	|	Теректі ауданы	|	125
139	|	Бөкейорда ауданы	|	126
140	|	Ақжайық ауданы	|	127
141	|	Шыңғырлау ауданы	|	128
142	|	Ақсай қаласы	|	129
143	|	Орал қаласы	|	130
144	|	Чапаев қаласы	|	131
8-тарау. Қарағанды облысы
145	|	Қарағанды облысы	|	09
146	|	Ақтоғай ауданы	|	102
147	|	Жаңаарқа ауданы	|	104
148	|	Ұлытау ауданы	|	106
149	|	Шет ауданы	|	107
150	|	Балқаш қаласы	|	108
151	|	Жезқазған қаласы	|	109
152	|	Қаражал қаласы	|	110
153	|	Приозерск қаласы	|	111
154	|	Сәтпаев қаласы	|	112
155	|	Қарқаралы ауданы	|	133
156	|	Абай ауданы	|	134
157	|	Нұра ауданы	|	136
158	|	Осакаровка ауданы	|	137
159	|	Бұхар-Жырау ауданы	|	140
160	|	Абай қаласы	|	141
161	|	Қарағанды қаласы	|	142
162	|	Қарқаралы қаласы	|	143
163	|	Саран қаласы	|	144
164	|	Теміртау қаласы	|	145
165	|	Шахтинск қаласы	|	146
9-тарау. Қызылорда облысы
166	|	Қызылорда облысы	|	10
167	|	Арал ауданы	|	147
168	|	Жалағаш ауданы	|	148
169	|	Жаңақорған ауданы	|	149
170	|	Қазалы ауданы	|	150
171	|	Қармақшы ауданы	|	151
172	|	Сырдария ауданы	|	153
173	|	Шиелі ауданы	|	154
174	|	Қазалы қаласы	|	155
175	|	Қызылорда қаласы	|	156
10-тарау. Қостанай облысы
176	|	Қостанай облысы	|	12
177	|	Алтынсарин ауданы	|	178
178	|	Жітіқара ауданы	|	179
179	|	Қамысты ауданы	|	180
180	|	Қарасу ауданы	|	181
181	|	Қарабалық ауданы	|	182
182	|	Қостанай ауданы	|	183
183	|	Ұзынкөл ауданы	|	184
184	|	Меңдіқара ауданы	|	185
185	|	Наурызым ауданы	|	186
186	|	Денисов ауданы	|	187
187	|	Әулиекөл ауданы	|	188
188	|	Бейімбет Майлин ауданы	|	189
189	|	Сарыкөл ауданы	|	190
190	|	Федоров ауданы	|	191
191	|	Жітіқара қаласы	|	192
192	|	Қостанай қаласы	|	193
193	|	Лисаковск қаласы	|	194
194	|	Рудный қаласы	|	195
195	|	Амангелді қаласы	|	272
196	|	Жангелді қаласы	|	276
197	|	Арқалық қаласы	|	282
11-тарау. Маңғыстау облысы
198	|	Маңғыстау облысы	|	13
199	|	Бейнеу ауданы	|	196
200	|	Қарақия ауданы	|	197
201	|	Маңғыстау ауданы	|	198
202	|	Түпқараған ауданы	|	199
203	|	Ақтау қаласы	|	200
204	|	Жаңаөзен қаласы	|	201
205	|	Форт-Шевченко қаласы	|	202
206	|	Мұнайлы қаласы	|	203
12-тарау. Павлодар облысы
207	|	Павлодар облысы	|	14
208	|	Ақтоғай ауданы	|	204
209	|	Баянауыл ауданы	|	205
210	|	Железинка ауданы	|	206
211	|	Ертіс ауданы	|	207
212	|	Тереңкөл ауданы	|	208
213	|	Аққулы ауданы	|	209
214	|	Май ауданы	|	210
215	|	Павлодар ауданы	|	211
216	|	Успен ауданы	|	212
217	|	Шарбақты ауданы	|	213
218	|	Ақсу қаласы	|	215
219	|	Ертіс ауылы	|	216
220	|	Курчатов қаласы	|	217
221	|	Павлодар қаласы	|	218
222	|	Екібастұз қаласы	|	219
13-тарау. Солтүстік Қазақстан облысы
223	|	Солтүстік Қазақстан облысы	|	15
224	|	Айыртау ауданы	|	157
225	|	Уәлиханов ауданы	|	162
226	|	Тайынша ауданы	|	164
227	|	Ғабит Мүсірепов атындағы аудан	|	165
228	|	Ақжар ауданы	|	167
229	|	Тайынша қаласы	|	175
230	|	Қызылжар ауданы	|	220
231	|	Мағжан Жұмабаев ауданы	|	221
232	|	Жамбыл ауданы	|	223
233	|	Есіл ауданы	|	224
234	|	Мамлют ауданы	|	225
235	|	Шал ақын ауданы	|	228
236	|	Аққайың ауданы	|	229
237	|	Тимирязев ауданы	|	231
238	|	Булаево қаласы	|	232
239	|	Мамлютка қаласы	|	233
240	|	Петропавл қаласы	|	234
241	|	Сергеев қаласы	|	235
14-тарау. Түркістан облысы
242	|	Түркістан облысы	|	19
243	|	Бәйдібек ауданы	|	286
244	|	Арыс ауданы	|	287
245	|	Мақтаарал ауданы	|	288
246	|	Қазығұрт ауданы	|	289
247	|	Ордабасы ауданы	|	293
248	|	Отырар ауданы	|	294
249	|	Сайрам ауданы	|	295
250	|	Сарыағаш ауданы	|	296
251	|	Созақ ауданы	|	297
252	|	Төлеби ауданы	|	298
253	|	Түлкібас ауданы	|	300
254	|	Шардара ауданы	|	301
255	|	Арыс қаласы	|	302
256	|	Жетісай қаласы	|	303
257	|	Кентау қаласы	|	304
258	|	Леңгір қаласы	|	305
259	|	Сарыағаш қаласы	|	306
260	|	Түркістан қаласы	|	307
261	|	Шардара қаласы	|	308
262	|	Жетісай ауданы	|	325
263	|	Келес ауданы	|	326
264	|	Сауран ауданы	|	331
15-тарау. Алматы қаласы
265	|	Алматы қаласы	|	20
266	|	Алмалы ауданы	|	311
267	|	Әуезов ауданы	|	312
268	|	Бостандық ауданы	|	313
269	|	Жетісу ауданы	|	314
270	|	Медеу ауданы	|	315
271	|	Түрксіб ауданы	|	317
272	|	Алатау ауданы	|	321
273	|	Наурызбай ауданы	|	322
16-тарау. Нұр-Сұлтан қаласы
274	|	Нұр-Сұлтан қаласы	|	21
275	|	"Алматы" ауданы	|	318
276	|	"Сарыарқа" ауданы	|	319
277	|	"Есіл" ауданы	|	320
278	|	"Байқоңыр" ауданы	|	324
17-тарау. Шымкент қаласы
279	|	Шымкент қаласы	|	22
280	|	Абай ауданы	|	327
281	|	Әл-Фараби ауданы	|	328
282	|	Еңбекші ауданы	|	329
283	|	Қаратау ауданы	|	330



